7345,49,Cet
7436,101,Psc
7450,50,Cet
7463,τ,Scl
7513,υ,And
7535,π,Psc
7588,α,Eri
7607,51,And
7650,40,Cas
7719,χ,And
7740,105,Psc
7751,p,Eri
7818,τ,And
7879,τ1,Hyi
7884,ν,Psc
7955,π,Scl
7965,43,Cas
7978,q1,Eri
7981,107,Psc
8016,42,Cas
8046,44,Cas
8068,φ,Per
8102,τ,Cet
8159,109,Psc
8198,ο,Psc
8209,ε,Scl
8241,q2,Eri
8366,τ2,Hyi
8387,4,Ari
8497,χ,Cet
8544,1,Ari
8645,ζ,Cet
8704,1,Per
8714,2,Per
8796,α,Tri
8814,55,And
8832,γ1,Ari
8833,ξ,Psc
8837,ψ,Phe
8882,φ,Phe
8886,ε,Cas
8903,β,Ari
8928,η2,Hyi
8991,σ,Hyi
8993,7,Ari
9007,χ,Eri
9009,ω,Cas
9021,56,And
9061,56,Cet
9110,ι,Ari
9153,λ,Ari
9222,3,Per
9236,α,Hyi
9326,57,Cet
9347,υ,Cet
9353,112,Psc
9440,π,For
9459,χ,Phe
9480,48,Cas
9487,α,Psc
9505,g,Per
9564,52,Cas
9570,ε,Tri
9573,53,Cas
9589,60,Cet
9598,50,Cas
9621,10,Ari
9631,61,Cet
9640,γ1,And
9677,ν,For
9727,47,Cas
9763,49,Cas
9836,κ,Ari
9859,11,Ari
9884,α,Ari
9977,58,And
10053,14,Ari
10064,β,Tri
10155,15,Ari
10176,59A,And
10180,59B,And
10203,16,Ari
10212,64,Cet
10220,5,Tri
10227,5,Per
10234,63,Cet
10280,6,Tri
10305,66,Cet
10306,η,Ari
10320,μ,For
10324,ξ1,Cet
10328,19,Ari
10340,b,And
10366,6,Per
10418,π1,Hyi
10438,55,Cas
10513,π2,Hyi
10535,21,Ari
10540,20,Ari
10559,7,Tri
10602,φ,Eri
10642,67,Cet
10644,δ,Tri
10670,γ,Tri
10718,8,Per
10729,χ,Per
10732,θ,Ari
10793,10,Tri
10819,c,And
10826,ο,Cet
10944,63,And
11001,δ,Hyi
11021,69,Cet
11046,70,Cet
11060,i,Per
11072,κ,For
11095,κ,Hyi
11220,64,And
11249,ξ,Ari
11258,λ,Hor
11261,71,Cet
11279,10,Per
11313,65,And
11345,ρ,Cet
11407,κ,Eri
11432,11,Tri
11465,66,And
11477,φ,For
11484,ξ2,Cet
11486,12,Tri
11548,13,Tri
11569,ι,Cas
11678,26,Ari
11698,27,Ari
11757,μ,Hyi
11767,α,UMi
11783,σ,Cet
11784,14,Tri
11791,75,Cet
11843,29,Ari
11867,λ1,For
11918,ω,For
12002,77,Cet
12086,15,Tri
12093,ν,Cet
12107,80,Cet
12122,ι1,For
12153,31,Ari
12184,30B,Ari
12186,λ2,For
12189,30A,Ari
12225,η,Hor
12247,81,Cet
12288,ι2,For
12332,ν,Ari
12387,δ,Cet
12390,ε,Cet
12394,ε,Hyi
12413,s,Eri
12484,ζ,Hor
12486,ι,Eri
12489,33,Ari
12530,84,Cet
12623,12,Per
12640,μ,Ari
12653,ι,Hor
12692,11,Per
12706,γ,Cet
12719,35,Ari
12768,14,Per
12770,π,Cet
12777,θ,Per
12784,36,Ari
12803,ο,Ari
12828,μ,Cet
12832,38,Ari
12843,τ1,Eri
12871,γ,Hor
12876,ζ,Hyi
13040,η1,For
13061,39,Ari
13108,40,Ari
13141,ν,Hor
13147,β,For
13165,π,Ari
13197,γ1,For
13202,γ2,For
13209,41,Ari
13225,η2,For
13244,ν,Hyi
13254,16,Per
13265,η3,For
13268,η,Per
13288,τ2,Eri
13327,σ,Ari
13328,17,Per
13473,ψ,For
13490,20,Per
13531,τ,Per
13654,45,Ari
13701,η,Eri
13702,ρ,Ari
13775,21,Per
13782,4,Eri
13834,47,Ari
13835,6,Eri
13847,θ1,Eri
13879,π,Per
13884,β,Hor
13905,24,Per
13914,ε,Ari
13942,ζ,For
13951,5,Eri
13954,λ,Cet
14040,7,Eri
14060,ρ1,Eri
14086,ε,For
14109,49,Ari
14131,θ,Hyi
14135,α,Cet
14143,93,Cet
14146,τ3,Eri
14168,ρ2,Eri
14240,μ,Hor
14293,ρ3,Eri
14328,γ,Per
14354,ρ,Per
14376,52,Ari
14382,k,Per
14514,53,Ari
14576,β,Per
14586,54,Ari
14632,ι,Per
14668,κ,Per
14677,55,Ari
14817,ω,Per
14838,δ,Ari
14879,α,For
14893,56,Ari
14954,94,Cet
15110,ζ,Ari
15197,ζ,Eri
15201,ι,Hyi
15244,14,Eri
15330,ζ1,Ret
15338,30,Per
15371,ζ2,Ret
15382,15,Eri
15383,95,Cet
15404,29,Per
15444,31,Per
15457,κ1,Cet
15474,τ4,Eri
15510,e,Eri
15514,59,Ari
15557,60,Ari
15619,κ2,Cet
15627,τ1,Ari
15648,l,Per
15696,62,Ari
15737,τ2,Ari
15861,64,Ari
15863,α,Per
15870,65,Ari
15900,ο,Tau
15987,χ1,For
16083,ξ,Tau
16112,χ2,For
16156,χ3,For
16181,66,Ari
16244,34,Per
16245,κ,Ret
16322,s,Tau
16335,σ,Per
16341,v,Eri
16369,f,Tau
16499,36,Per
16511,t,Tau
16537,ε,Eri
16611,τ5,Eri
16664,7,Tau
16803,20,Eri
16826,ψ,Per
16852,10,Tau
16859,9,Tau
16870,y,Eri
17007,τ,For
17027,21,Eri
17103,12,Tau
17167,22,Eri
17181,11,Tau
17304,δ,For
17309,13,Tau
17313,o,Per
17351,h,Eri
17358,δ,Per
17378,δ,Eri
17408,14,Tau
17440,β,Ret
17448,ο,Per
17457,24,Eri
17489,16,Tau
17499,17,Tau
17506,25,Eri
17527,18,Tau
17529,ν,Per
17531,q,Tau
17563,u,Tau
17573,20,Tau
17579,21,Tau
17588,22,Tau
17593,π,Eri
17608,23,Tau
17618,σ,For
17651,τ6,Eri
17678,γ,Hyi
17702,η,Tau
17717,τ7,Eri
17738,ρ,For
17771,e,Tau
17847,27,Tau
17851,28,Tau
17874,g,Eri
17886,n,Per
17959,γ,Cam
18089,31,Tau
18141,30,Eri
18213,i,Eri
18216,τ8,Eri
18246,ζ,Per
18255,32,Eri
18453,43,Per
18471,32,Tau
18485,33,Tau
18532,ε,Per
18543,γ,Eri
18597,δ,Ret
18614,ξ,Per
18673,τ9,Eri
18724,λ,Tau
18744,γ,Ret
18772,ι,Ret
18788,35,Eri
18907,ν,Tau
18957,40,Tau
19009,36,Tau
19038,37,Tau
19076,39,Tau
19167,λ,Per
19171,41,Tau
19205,ψ,Tau
19302,49,Per
19335,50,Per
19343,c,Per
19388,ω1,Tau
19483,37,Eri
19513,p,Tau
19515,δ,Hor
19554,45,Tau
19587,ο1,Eri
19719,46,Tau
19740,47,Tau
19747,α,Hor
19777,39,Eri
19780,α,Ret
19811,f,Per
19812,μ,Per
19849,ο2,Eri
19860,μ,Tau
19877,48,Tau
19893,γ,Dor
19921,ε,Ret
19990,ω,Tau
20020,θ,Ret
20042,υ4,Eri
20049,δ,Men
20070,b,Per
20087,51,Tau
20171,53,Tau
20186,56,Tau
20205,γ,Tau
20219,h,Tau
20250,φ,Tau
20252,54,Per
20261,58,Tau
20297,ν,Men
20354,d,Per
20384,η,Ret
20400,60,Tau
20430,χ,Tau
20455,δ1,Tau
20484,63,Tau
20507,ξ,Eri
20522,r,Tau
